Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
EXIT,983,2025-05-14 13:08:00+05:30,1030.6,1014,2025-05-14 13:39:00+05:30,1033.4,2.8,4.4,100004
ENTRY,1055,2025-05-14 14:20:00+05:30,1040,,,,,,
EXIT,1055,2025-05-14 14:20:00+05:30,1040,1069,2025-05-14 14:34:00+05:30,1007.9,-32.1,-27.7,99972.3
ENTRY,1080,2025-05-14 14:45:00+05:30,1034.05,,,,,,
EXIT,1080,2025-05-14 14:45:00+05:30,1034.05,1116,2025-05-14 15:21:00+05:30,1062.95,28.9,1.2,100001
ENTRY,1118,2025-05-14 15:23:00+05:30,1068,,,,,,
EXIT,1118,2025-05-14 15:23:00+05:30,1068,1132,2025-05-15 09:22:00+05:30,1039.95,-28.05,-26.85,99973.1
ENTRY,1168,2025-05-15 09:58:00+05:30,1005,,,,,,
EXIT,1168,2025-05-15 09:58:00+05:30,1005,1177,2025-05-15 10:07:00+05:30,980.9,-24.1,-50.95,99949
ENTRY,1189,2025-05-15 10:19:00+05:30,1001.95,,,,,,
EXIT,1189,2025-05-15 10:19:00+05:30,1001.95,1241,2025-05-15 11:11:00+05:30,1073,71.05,20.1,100020
ENTRY,1282,2025-05-15 11:52:00+05:30,1050,,,,,,
EXIT,1282,2025-05-15 11:52:00+05:30,1050,1288,2025-05-15 11:58:00+05:30,1066.05,16.05,36.15,100036
ENTRY,1295,2025-05-15 12:05:00+05:30,1070.15,,,,,,
EXIT,1295,2025-05-15 12:05:00+05:30,1070.15,1318,2025-05-15 12:28:00+05:30,1064,-6.15,30,100030
ENTRY,1333,2025-05-15 12:43:00+05:30,1071,,,,,,
EXIT,1333,2025-05-15 12:43:00+05:30,1071,1341,2025-05-15 12:51:00+05:30,1071.95,0.95,30.95,100031
ENTRY,1348,2025-05-15 12:58:00+05:30,1090.4,,,,,,
EXIT,1348,2025-05-15 12:58:00+05:30,1090.4,1443,2025-05-15 14:33:00+05:30,1382.95,292.55,323.5,100323
ENTRY,1502,2025-05-16 09:17:00+05:30,1358,,,,,,
EXIT,1502,2025-05-16 09:17:00+05:30,1358,1513,2025-05-16 09:28:00+05:30,1325,-33,290.5,100290
ENTRY,1517,2025-05-16 09:32:00+05:30,1380.3,,,,,,
EXIT,1517,2025-05-16 09:32:00+05:30,1380.3,1528,2025-05-16 09:43:00+05:30,1339.8,-40.5,250,100250
ENTRY,1551,2025-05-16 10:06:00+05:30,1348.05,,,,,,
EXIT,1551,2025-05-16 10:06:00+05:30,1348.05,1577,2025-05-16 10:32:00+05:30,1327.35,-20.7,229.3,100229
ENTRY,1629,2025-05-16 11:24:00+05:30,1314.95,,,,,,
EXIT,1629,2025-05-16 11:24:00+05:30,1314.95,1632,2025-05-16 11:27:00+05:30,1297,-17.95,211.35,100211
ENTRY,1642,2025-05-16 11:37:00+05:30,1328.25,,,,,,
EXIT,1642,2025-05-16 11:37:00+05:30,1328.25,1657,2025-05-16 11:52:00+05:30,1318.05,-10.2,201.15,100201
ENTRY,1677,2025-05-16 12:12:00+05:30,1309.15,,,,,,
EXIT,1677,2025-05-16 12:12:00+05:30,1309.15,1681,2025-05-16 12:16:00+05:30,1299.95,-9.2,191.95,100192
ENTRY,1698,2025-05-16 12:33:00+05:30,1323.95,,,,,,
EXIT,1698,2025-05-16 12:33:00+05:30,1323.95,1728,2025-05-16 13:03:00+05:30,1325.05,1.1,193.05,100193
ENTRY,1741,2025-05-16 13:16:00+05:30,1339.6,,,,,,
EXIT,1741,2025-05-16 13:16:00+05:30,1339.6,1769,2025-05-16 13:44:00+05:30,1326.2,-13.4,179.65,100180
ENTRY,1786,2025-05-16 14:01:00+05:30,1341.9,,,,,,
EXIT,1786,2025-05-16 14:01:00+05:30,1341.9,1808,2025-05-16 14:23:00+05:30,1339.95,-1.95,177.7,100178
ENTRY,1828,2025-05-16 14:43:00+05:30,1340,,,,,,
EXIT,1828,2025-05-16 14:43:00+05:30,1340,1842,2025-05-16 14:57:00+05:30,1329.05,-10.95,166.75,100167
ENTRY,1853,2025-05-16 15:08:00+05:30,1342,,,,,,
EXIT,1853,2025-05-16 15:08:00+05:30,1342,1873,2025-05-16 15:28:00+05:30,1343.95,1.95,168.7,100169
ENTRY,1919,2025-05-19 10:00:00+05:30,1316.95,,,,,,
EXIT,1919,2025-05-19 10:00:00+05:30,1316.95,1921,2025-05-19 10:02:00+05:30,1322.95,6,174.7,100175
ENTRY,1922,2025-05-19 10:03:00+05:30,1337,,,,,,
EXIT,1922,2025-05-19 10:03:00+05:30,1337,1925,2025-05-19 10:06:00+05:30,1338.95,1.95,176.65,100177
ENTRY,1926,2025-05-19 10:07:00+05:30,1334.05,,,,,,
EXIT,1926,2025-05-19 10:07:00+05:30,1334.05,1949,2025-05-19 10:30:00+05:30,1334.55,0.5,177.15,100177
ENTRY,1978,2025-05-19 10:59:00+05:30,1349.95,,,,,,
EXIT,1978,2025-05-19 10:59:00+05:30,1349.95,2000,2025-05-19 11:21:00+05:30,1346.7,-3.25,173.9,100174
ENTRY,2036,2025-05-19 11:57:00+05:30,1337.05,,,,,,
EXIT,2036,2025-05-19 11:57:00+05:30,1337.05,2040,2025-05-19 12:01:00+05:30,1320.95,-16.1,157.8,100158
ENTRY,2064,2025-05-19 12:25:00+05:30,1331.85,,,,,,
EXIT,2064,2025-05-19 12:25:00+05:30,1331.85,2083,2025-05-19 12:44:00+05:30,1324,-7.85,149.95,100150
ENTRY,2096,2025-05-19 12:57:00+05:30,1331.7,,,,,,
EXIT,2096,2025-05-19 12:57:00+05:30,1331.7,2105,2025-05-19 13:06:00+05:30,1314.05,-17.65,132.3,100132
ENTRY,2127,2025-05-19 13:28:00+05:30,1315,,,,,,
EXIT,2127,2025-05-19 13:28:00+05:30,1315,2138,2025-05-19 13:39:00+05:30,1304.15,-10.85,121.45,100121
ENTRY,2186,2025-05-19 14:27:00+05:30,1258,,,,,,
EXIT,2186,2025-05-19 14:27:00+05:30,1258,2191,2025-05-19 14:32:00+05:30,1252.45,-5.55,115.9,100116
ENTRY,2202,2025-05-19 14:43:00+05:30,1267.85,,,,,,
EXIT,2202,2025-05-19 14:43:00+05:30,1267.85,2209,2025-05-19 14:50:00+05:30,1250.45,-17.4,98.5,100098
ENTRY,2210,2025-05-19 14:51:00+05:30,1253.25,,,,,,
EXIT,2210,2025-05-19 14:51:00+05:30,1253.25,2212,2025-05-19 14:53:00+05:30,1246.55,-6.7,91.8,100092
ENTRY,2225,2025-05-19 15:06:00+05:30,1265,,,,,,
EXIT,2225,2025-05-19 15:06:00+05:30,1265,2238,2025-05-19 15:19:00+05:30,1260.95,-4.05,87.75,100088
ENTRY,2249,2025-05-20 09:15:00+05:30,1311,,,,,,
EXIT,2249,2025-05-20 09:15:00+05:30,1311,2268,2025-05-20 09:34:00+05:30,1260,-51,36.75,100037
ENTRY,2302,2025-05-20 10:08:00+05:30,1249.3,,,,,,
EXIT,2302,2025-05-20 10:08:00+05:30,1249.3,2313,2025-05-20 10:19:00+05:30,1225,-24.3,12.45,100012
ENTRY,2330,2025-05-20 10:36:00+05:30,1265.65,,,,,,
EXIT,2330,2025-05-20 10:36:00+05:30,1265.65,2355,2025-05-20 11:01:00+05:30,1270,4.35,16.8,100017
ENTRY,2423,2025-05-20 12:09:00+05:30,1230,,,,,,
EXIT,2423,2025-05-20 12:09:00+05:30,1230,2434,2025-05-20 12:20:00+05:30,1213,-17,-0.2,99999.8
ENTRY,2448,2025-05-20 12:34:00+05:30,1224.55,,,,,,
EXIT,2448,2025-05-20 12:34:00+05:30,1224.55,2460,2025-05-20 12:46:00+05:30,1217.6,-6.95,-7.15,99992.8
