Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
ENTRY,5782,2025-06-02 11:53:00+05:30,908,,,,,,
EXIT,5782,2025-06-02 11:53:00+05:30,908,5847,2025-06-02 12:58:00+05:30,957.5,49.5,47.25,100047
ENTRY,5869,2025-06-02 13:20:00+05:30,959.7,,,,,,
EXIT,5869,2025-06-02 13:20:00+05:30,959.7,5906,2025-06-02 13:57:00+05:30,964.5,4.8,52.05,100052
ENTRY,5938,2025-06-02 14:29:00+05:30,962.7,,,,,,
EXIT,5938,2025-06-02 14:29:00+05:30,962.7,5943,2025-06-02 14:34:00+05:30,920,-42.7,9.35,100009
ENTRY,5963,2025-06-02 14:54:00+05:30,944.8,,,,,,
EXIT,5963,2025-06-02 14:54:00+05:30,944.8,5987,2025-06-02 15:18:00+05:30,955.55,10.75,20.1,100020
ENTRY,6008,2025-06-03 09:24:00+05:30,927,,,,,,
EXIT,6008,2025-06-03 09:24:00+05:30,927,6010,2025-06-03 09:26:00+05:30,916.5,-10.5,9.6,100010
ENTRY,6028,2025-06-03 09:44:00+05:30,918.25,,,,,,
EXIT,6028,2025-06-03 09:44:00+05:30,918.25,6045,2025-06-03 10:01:00+05:30,897.65,-20.6,-11,99989
ENTRY,6059,2025-06-03 10:15:00+05:30,933,,,,,,
EXIT,6059,2025-06-03 10:15:00+05:30,933,6084,2025-06-03 10:40:00+05:30,907.95,-25.05,-36.05,99964
ENTRY,6138,2025-06-03 11:34:00+05:30,932,,,,,,
EXIT,6138,2025-06-03 11:34:00+05:30,932,6149,2025-06-03 11:45:00+05:30,880,-52,-88.05,99912
ENTRY,6162,2025-06-03 11:58:00+05:30,902.55,,,,,,
EXIT,6162,2025-06-03 11:58:00+05:30,902.55,6180,2025-06-03 12:16:00+05:30,882.6,-19.95,-108,99892
ENTRY,6197,2025-06-03 12:33:00+05:30,910,,,,,,
EXIT,6197,2025-06-03 12:33:00+05:30,910,6214,2025-06-03 12:50:00+05:30,884,-26,-134,99866
ENTRY,6244,2025-06-03 13:20:00+05:30,855,,,,,,
EXIT,6244,2025-06-03 13:20:00+05:30,855,6250,2025-06-03 13:26:00+05:30,837.6,-17.4,-151.4,99848.6
ENTRY,6252,2025-06-03 13:28:00+05:30,836.15,,,,,,
EXIT,6252,2025-06-03 13:28:00+05:30,836.15,6256,2025-06-03 13:32:00+05:30,850,13.85,-137.55,99862.5
ENTRY,6261,2025-06-03 13:37:00+05:30,851,,,,,,
EXIT,6261,2025-06-03 13:37:00+05:30,851,6269,2025-06-03 13:45:00+05:30,835.85,-15.15,-152.7,99847.3
ENTRY,6286,2025-06-03 14:02:00+05:30,842,,,,,,
EXIT,6286,2025-06-03 14:02:00+05:30,842,6314,2025-06-03 14:30:00+05:30,844.2,2.2,-150.5,99849.5
ENTRY,6319,2025-06-03 14:35:00+05:30,858,,,,,,
EXIT,6319,2025-06-03 14:35:00+05:30,858,6338,2025-06-03 14:54:00+05:30,854,-4,-154.5,99845.5
ENTRY,6383,2025-06-04 09:24:00+05:30,826.9,,,,,,
EXIT,6383,2025-06-04 09:24:00+05:30,826.9,6394,2025-06-04 09:35:00+05:30,799.4,-27.5,-182,99818
ENTRY,6421,2025-06-04 10:02:00+05:30,819,,,,,,
EXIT,6421,2025-06-04 10:02:00+05:30,819,6474,2025-06-04 10:55:00+05:30,830,11,-171,99829
ENTRY,6489,2025-06-04 11:10:00+05:30,834.45,,,,,,
EXIT,6489,2025-06-04 11:10:00+05:30,834.45,6495,2025-06-04 11:16:00+05:30,822,-12.45,-183.45,99816.6
ENTRY,6507,2025-06-04 11:28:00+05:30,840.95,,,,,,
EXIT,6507,2025-06-04 11:28:00+05:30,840.95,6527,2025-06-04 11:48:00+05:30,831.85,-9.1,-192.55,99807.5
ENTRY,6548,2025-06-04 12:09:00+05:30,835.3,,,,,,
EXIT,6548,2025-06-04 12:09:00+05:30,835.3,6571,2025-06-04 12:32:00+05:30,834.5,-0.8,-193.35,99806.7
ENTRY,6587,2025-06-04 12:48:00+05:30,843.05,,,,,,
EXIT,6587,2025-06-04 12:48:00+05:30,843.05,6616,2025-06-04 13:17:00+05:30,841.45,-1.6,-194.95,99805.1
ENTRY,6632,2025-06-04 13:33:00+05:30,851,,,,,,
EXIT,6632,2025-06-04 13:33:00+05:30,851,6650,2025-06-04 13:51:00+05:30,851.5,0.5,-194.45,99805.6
ENTRY,6651,2025-06-04 13:52:00+05:30,853.95,,,,,,
EXIT,6651,2025-06-04 13:52:00+05:30,853.95,6680,2025-06-04 14:21:00+05:30,860,6.05,-188.4,99811.6
ENTRY,6694,2025-06-04 14:35:00+05:30,858.55,,,,,,
EXIT,6694,2025-06-04 14:35:00+05:30,858.55,6696,2025-06-04 14:37:00+05:30,857.95,-0.6,-189,99811
ENTRY,6713,2025-06-04 14:54:00+05:30,857.5,,,,,,
EXIT,6713,2025-06-04 14:54:00+05:30,857.5,6732,2025-06-04 15:13:00+05:30,847.95,-9.55,-198.55,99801.5
ENTRY,6756,2025-06-05 09:22:00+05:30,861.6,,,,,,
EXIT,6756,2025-06-05 09:22:00+05:30,861.6,6797,2025-06-05 10:03:00+05:30,938.2,76.6,-121.95,99878.1
ENTRY,6862,2025-06-05 11:08:00+05:30,902,,,,,,
EXIT,6862,2025-06-05 11:08:00+05:30,902,6896,2025-06-05 11:42:00+05:30,927.75,25.75,-96.2,99903.8
ENTRY,6915,2025-06-05 12:01:00+05:30,950,,,,,,
EXIT,6915,2025-06-05 12:01:00+05:30,950,6944,2025-06-05 12:30:00+05:30,1034,84,-12.2,99987.8
ENTRY,6964,2025-06-05 12:50:00+05:30,1018,,,,,,
EXIT,6964,2025-06-05 12:50:00+05:30,1018,6967,2025-06-05 12:53:00+05:30,1020,2,-10.2,99989.8
ENTRY,7061,2025-06-05 14:27:00+05:30,949,,,,,,
EXIT,7061,2025-06-05 14:27:00+05:30,949,7095,2025-06-05 15:01:00+05:30,939.5,-9.5,-19.7,99980.3
