date,open,high,low,close,volume,oi
2025-05-12 09:15:00+05:30,850.0,960.4,828.75,957.05,11775,1793050
2025-05-12 09:16:00+05:30,957.05,988.25,957.05,977.55,16650,1793050
2025-05-12 09:17:00+05:30,977.55,989.0,974.0,987.95,13200,1793050
2025-05-12 09:18:00+05:30,987.95,995.8,984.0,993.2,10650,1771025
2025-05-12 09:19:00+05:30,993.2,1005.05,991.6,1005.05,7125,1771025
2025-05-12 09:20:00+05:30,1005.05,1035.6,1005.05,1020.75,10125,1771025
2025-05-12 09:21:00+05:30,1023.05,1026.1,1018.25,1018.25,5400,1764800
2025-05-12 09:22:00+05:30,1018.25,1031.45,1017.0,1027.95,4500,1764800
2025-05-12 09:23:00+05:30,1022.0,1029.65,1011.25,1020.3,8850,1764800
2025-05-12 09:24:00+05:30,1020.3,1023.85,1014.95,1019.9,3675,1762250
2025-05-12 09:25:00+05:30,1019.9,1027.9,1016.3,1024.55,1350,1762250
2025-05-12 09:26:00+05:30,1024.55,1027.9,1016.5,1016.5,3000,1762250
2025-05-12 09:27:00+05:30,1016.5,1029.0,1015.0,1020.05,5325,1759325
2025-05-12 09:28:00+05:30,1020.05,1025.25,1015.0,1019.95,1725,1759325
2025-05-12 09:29:00+05:30,1019.95,1033.8,1019.95,1028.3,2700,1759325
2025-05-12 09:30:00+05:30,1028.5,1032.9,1026.3,1028.8,1875,1757275
2025-05-12 09:31:00+05:30,1028.8,1034.45,1020.3,1030.55,1950,1757275
2025-05-12 09:32:00+05:30,1030.55,1046.5,1030.55,1046.5,4350,1757275
2025-05-12 09:33:00+05:30,1046.2,1054.7,1045.15,1050.2,3150,1755625
2025-05-12 09:34:00+05:30,1050.2,1060.0,1045.75,1060.0,2925,1755625
2025-05-12 09:35:00+05:30,1059.6,1069.95,1057.05,1057.05,4500,1755625
2025-05-12 09:36:00+05:30,1057.05,1063.85,1056.2,1056.2,1425,1753800
2025-05-12 09:37:00+05:30,1056.2,1061.2,1052.1,1056.1,1350,1753800
2025-05-12 09:38:00+05:30,1056.1,1056.1,1046.3,1046.3,1425,1753800
2025-05-12 09:39:00+05:30,1050.0,1051.6,1039.95,1046.05,1500,1752900
2025-05-12 09:40:00+05:30,1046.05,1062.8,1045.3,1062.8,16575,1752900
2025-05-12 09:41:00+05:30,1062.8,1062.8,1054.0,1057.2,2250,1752900
2025-05-12 09:42:00+05:30,1055.1,1057.2,1042.25,1048.05,1950,1752200
2025-05-12 09:43:00+05:30,1048.05,1050.0,1041.0,1041.0,825,1752200
2025-05-12 09:44:00+05:30,1041.0,1043.9,1034.05,1041.95,3075,1752200
2025-05-12 09:45:00+05:30,1041.95,1052.6,1041.05,1052.6,2850,1750325
2025-05-12 09:46:00+05:30,1052.6,1053.75,1045.05,1049.25,2325,1750325
2025-05-12 09:47:00+05:30,1049.25,1055.0,1045.05,1050.55,2475,1750325
2025-05-12 09:48:00+05:30,1050.55,1050.9,1048.85,1048.85,1350,1749050
2025-05-12 09:49:00+05:30,1048.85,1056.1,1045.05,1055.7,2175,1749050
2025-05-12 09:50:00+05:30,1055.7,1057.0,1051.0,1057.0,225,1749050
2025-05-12 09:51:00+05:30,1057.0,1083.7,1056.05,1083.7,1875,1748975
2025-05-12 09:52:00+05:30,1083.7,1092.5,1083.7,1090.05,825,1748975
2025-05-12 09:53:00+05:30,1090.0,1095.0,1086.0,1094.0,1575,1748975
2025-05-12 09:54:00+05:30,1094.0,1111.3,1094.0,1111.05,2775,1746500
2025-05-12 09:55:00+05:30,1111.05,1114.95,1109.05,1113.6,450,1746500
2025-05-12 09:56:00+05:30,1113.6,1130.2,1113.6,1130.2,2250,1746500
2025-05-12 09:57:00+05:30,1130.2,1137.6,1126.6,1137.6,2325,1746200
2025-05-12 09:58:00+05:30,1137.6,1154.95,1135.0,1143.15,1425,1746200
2025-05-12 09:59:00+05:30,1150.0,1163.1,1144.1,1156.7,1350,1746200
2025-05-12 10:00:00+05:30,1156.7,1164.25,1131.2,1141.85,3450,1744325
2025-05-12 10:01:00+05:30,1141.85,1141.85,1129.65,1133.65,2025,1744325
2025-05-12 10:02:00+05:30,1133.65,1148.0,1133.05,1144.15,2100,1744325
2025-05-12 10:03:00+05:30,1144.15,1144.7,1135.0,1136.6,2850,1742975
2025-05-12 10:04:00+05:30,1136.6,1138.5,1127.1,1138.5,2025,1742975
2025-05-12 10:05:00+05:30,1138.5,1138.5,1129.5,1133.0,2175,1742975
2025-05-12 10:06:00+05:30,1133.0,1140.0,1130.0,1136.1,1275,1742375
2025-05-12 10:07:00+05:30,1136.1,1136.1,1129.55,1131.15,1125,1742375
2025-05-12 10:08:00+05:30,1131.15,1135.6,1120.25,1123.0,2625,1742375
2025-05-12 10:09:00+05:30,1123.5,1125.95,1121.7,1123.6,1050,1741475
2025-05-12 10:10:00+05:30,1123.6,1131.3,1122.15,1129.1,2025,1741475
2025-05-12 10:11:00+05:30,1129.1,1129.1,1117.55,1127.1,2700,1741475
2025-05-12 10:12:00+05:30,1127.1,1127.1,1118.7,1118.7,1950,1741175
2025-05-12 10:13:00+05:30,1118.7,1118.7,1110.0,1115.7,4125,1741175
2025-05-12 10:14:00+05:30,1115.7,1124.6,1112.65,1119.05,2175,1741175
